,2017_06_29 screen printed array 1,,,,,
run ,1,1,1,1,1,1
temperature ,20,25,30,35,40,60
actual temperature,23,27,32,37,43,63
1,10.45,8.51,6.05,4.64,3.27,1.4
2,5.19,4.66,3.14,2.34,1.75,0.74
3,6.14,5.2,4.12,3.15,2.35,0.9
4,5.85,4.83,4.43,4.01,2.93,1.13
5,5.68,4.33,3.34,2.62,1.9,0.74
6,7.74,6.35,4.62,3.37,2.44,0.93
7,11.38,9.19,8.44,6.41,5.19,2.03
8,4.93,4.41,3.4,3.28,2.21,0.71
9,8.58,6.65,5.81,4.33,2.73,1.25
10,8.1,6.56,4.7,2.92,2.58,0.99
11,6.6,5.61,4.36,3.03,2.22,0.81
12,6.51,6.02,4.29,2.97,2.35,0.82
13,6.19,5.21,4,3.34,2.33,0.94
14,5.55,4.83,3.48,3.15,2.21,0.81
15,5.07,4.02,3.13,2.33,1.75,0.71
16,5.8,4.39,3.71,2.84,2.03,0.82
